city,lat,lng,country,iso2,admin,capital,population,population_proper
Shanghai,31.222222,121.458056,China,CN,Shanghai,admin,14987000,14608512
Beijing,39.928819,116.388869,China,CN,Beijing,primary,11106000,7480601
Guangzhou,23.116667,113.25,China,CN,Guangdong,admin,8829000,3152825
Shenzhen,22.533333,114.133333,China,CN,Guangdong,minor,7581000,1002592
Wuhan,30.583333,114.266667,China,CN,Hubei,admin,7243000,4184206
Tianjin,39.142222,117.176667,China,CN,Tianjin,admin,7180000,3766207
Chongqing,29.562778,106.552778,China,CN,Chongqing,admin,6461000,3967028
Shenyang,41.792222,123.432778,China,CN,Liaoning,admin,4787000,3512192
Dongguan,23.048889,113.744722,China,CN,Guangdong,minor,4528000,4528000
Chengdu,30.666667,104.066667,China,CN,Sichuan,admin,4123000,3950437
Lianhu,34.258479,108.924205,China,CN,Shaanxi,minor,4009000,3225812
Hechi,23.0027,109.84,China,CN,Guangxi,,3830000,2720379
Nanjing,32.061667,118.777778,China,CN,Jiangsu,admin,3679000,3087010
Guiyang,26.583333,106.716667,China,CN,Guizhou,admin,3662000,1171633
Harbin,45.75,126.65,China,CN,Heilongjiang,admin,3621000,3229883
Zhangzhou,24.513333,117.655556,China,CN,Fujian,minor,3531147,1338452
Changchun,43.88,125.322778,China,CN,Jilin,admin,3183000,2537421
Dalian,38.912222,121.602222,China,CN,Liaoning,,3167000,2035307
Zibo,36.790556,118.063333,China,CN,Shandong,,3061000,669770
Hangzhou,30.29365,120.161419,China,CN,Zhejiang,admin,3007000,1878129
Kunming,25.038889,102.718333,China,CN,Yunnan,admin,2931000,1023674
Taiyuan,37.869444,112.560278,China,CN,Shanxi,admin,2913000,2722475
Qingdao,36.066049,120.369393,China,CN,Shandong,minor,2866000,1642245
Jinan,36.668333,116.997222,China,CN,Shandong,admin,2798000,2069266
Zhengzhou,34.683611,113.5325,China,CN,Henan,,2636000,2014125
Fuzhou,26.061389,119.306111,China,CN,Fujian,admin,2606000,1179720
Changsha,28.2,112.966667,China,CN,Hunan,admin,2604000,2073938
Xiangtandong,27.866667,112.933333,China,CN,Hunan,,2586948,1779960
Lanzhou,36.057006,103.839868,China,CN,Gansu,admin,2561000,2004218
Xiamen,24.479794,118.081869,China,CN,Fujian,minor,2519000,578337
Jinjiao,40.743394,120.816702,China,CN,Liaoning,,2426000,313247
Shijiazhuang,38.041389,114.478611,China,CN,Hebei,admin,2417000,1992474
Jilin,43.850833,126.560278,China,CN,Jilin,,2396000,1881977
Wenzhou,27.999416,120.66682,China,CN,Zhejiang,,2350000,865672
Nanchangshi,28.655758,115.905049,China,CN,Jiangxi,,2350000,1871351
Nanchong,30.795075,106.084735,China,CN,Sichuan,minor,2174000,2174000
Nanning,22.816667,108.316667,China,CN,Guangxi,admin,2167000,803788
Ürümqi,43.807347,87.630506,China,CN,Xinjiang,admin,2151000,1508225
Daguozhuangcun,34.906549,117.60353,China,CN,Shandong,,2145000,183665
Yantai,37.533333,121.4,China,CN,Shandong,,2116000,719332
Linyi,35.063056,118.342778,China,CN,Shandong,,2082000,270669
Haikou,20.045833,110.341667,China,CN,Hainan,admin,2046189,1167428
Baotou,40.652222,109.822222,China,CN,Inner Mongolia,,2036000,423329
Hefei,31.863889,117.280833,China,CN,Anhui,admin,2035000,1388904
Suzhou,33.636111,116.978889,China,CN,Anhui,,1964000,1964000
Lanzhuang,32.980022,112.495059,China,CN,Henan,,1944000,251532
Ningbo,29.878186,121.549453,China,CN,Zhejiang,minor,1923000,719867
Tangshan,39.633333,118.183333,China,CN,Hebei,,1879000,1596949
Datong,40.093611,113.291389,China,CN,Shanxi,,1873000,1052678
Shucheng,34.121282,118.780783,China,CN,Jiangsu,minor,1770000,1770000
Shangqiu,34.45,115.65,China,CN,Henan,,1753000,181218
Wuxi,31.568873,120.288573,China,CN,Jiangsu,minor,1749000,1108647
Hohhot,40.810556,111.652222,China,CN,Inner Mongolia,admin,1726000,774477
Luoyang,34.683611,112.453611,China,CN,Henan,,1715000,1390581
Daqing,46.583333,125.0,China,CN,Heilongjiang,,1693000,203488
Lu’an,31.756944,116.491389,China,CN,Anhui,minor,1690000,1126455
Wanxian,30.815439,108.370891,China,CN,Chongqing,,1680000,1680000
Suzhou,31.304077,120.59538,China,CN,Jiangsu,minor,1650000,1343091
Qiqihar,47.34088,123.960448,China,CN,Heilongjiang,minor,1641000,882364
Anshan,41.123611,122.99,China,CN,Liaoning,,1639000,1199275
Handan,36.600556,114.467778,China,CN,Hebei,,1631000,1358318
Tai’an,36.185278,117.12,China,CN,Shandong,,1629000,1629000
Shantou,23.36814,116.71479,China,CN,Guangdong,minor,1601000,1333973
Zhanjiang,21.281452,110.342713,China,CN,Guangdong,minor,1590000,637790
Xiantao,30.383333,113.4,China,CN,Hubei,,1556000,239406
Weifang,36.71,119.101944,China,CN,Shandong,,1553000,394732
Xinyang,32.122778,114.065556,China,CN,Henan,,1541000,1282888
Luzhou,28.872391,105.44049,China,CN,Sichuan,minor,1537000,1537000
Tantou,25.9559,114.938,China,CN,Jiangxi,,1500000,932269
Liuzhou,24.312582,109.389157,China,CN,Guangxi,minor,1497000,1375061
Fushun,41.855833,123.923333,China,CN,Liaoning,,1470000,1400646
Changde,29.167407,111.707688,China,CN,Hunan,,1469000,517780
Neijiang,29.583536,105.06216,China,CN,Sichuan,minor,1466000,546854
Quanzhou,24.913889,118.585833,China,CN,Fujian,minor,1463000,184143
Huainan,32.626389,116.996944,China,CN,Anhui,,1451000,1027655
Suining,30.508017,105.573324,China,CN,Sichuan,minor,1425000,1425000
Mianyang,31.459339,104.754235,China,CN,Sichuan,minor,1396000,264136
Huashan,31.701453,118.495632,China,CN,Anhui,,1366302,633940
Yiyang,28.589167,112.328333,China,CN,Hunan,,1352000,202608
Heze,35.239289,115.473578,China,CN,Shandong,minor,1338000,254602
Zhangshu,31.805735,120.005059,China,CN,Jiangsu,,1327000,949018
Chifeng,42.268333,118.963611,China,CN,Inner Mongolia,minor,1277000,346654
Huaiyin,33.588611,119.019167,China,CN,Jiangsu,,1264000,555230
Mudanjiang,44.583333,129.6,China,CN,Heilongjiang,minor,1244000,665915
Huzhou,30.870301,120.093297,China,CN,Zhejiang,minor,1231000,158320
Maoling,21.891112,110.84503,China,CN,Guangdong,,1217715,1217715
Jining,35.405,116.581389,China,CN,Shandong,,1186000,450327
Leshan,29.562275,103.76386,China,CN,Sichuan,,1157000,154477
Shangrao,28.453221,117.968604,China,CN,Jiangxi,minor,1144577,700266
Yuzhi,22.6089,110.114,China,CN,Guangxi,,1127000,148485
Xianyangshi,34.346335,108.718164,China,CN,Shaanxi,,1126000,1126000
Baoding,38.851111,115.490278,China,CN,Hebei,,1107000,995652
Zigong,29.341622,104.776887,China,CN,Sichuan,,1105000,689961
Ankang,32.68,109.017222,China,CN,Shaanxi,,1100000,950000
Jinhua,29.106782,119.644207,China,CN,Zhejiang,minor,1092852,142206
Zhuzhou,27.833333,113.15,China,CN,Hunan,minor,1080000,709358
Xiangyang,32.042203,112.144794,China,CN,Hubei,minor,1069000,462956
Xining,36.625541,101.75739,China,CN,Qinghai,admin,1048000,767531
Zhangjiakou,40.81,114.879444,China,CN,Hebei,,1046000,559641
Zhuhai,22.276944,113.567778,China,CN,Guangdong,minor,1023000,1023000
Jiamusi,46.799272,130.316328,China,CN,Heilongjiang,minor,1020000,549549
Hengyang,26.888056,112.615,China,CN,Hunan,,1016000,759602
Benxi,41.288611,123.765,China,CN,Liaoning,,1012000,835866
Tiezhuang,39.947966,119.571539,China,CN,Hebei,,1003000,759718
Yaowan,25.1067,99.1515,China,CN,Yunnan,,1000000,850000
Yinchuan,38.468056,106.273056,China,CN,Ningxia,admin,991000,324228
Jiaxing,30.752198,120.749997,China,CN,Zhejiang,minor,988000,466101
Guilin,25.281944,110.286389,China,CN,Guangxi,minor,987000,649352
Yichun,27.833333,114.4,China,CN,Jiangxi,minor,982000,982000
Dayangquan,37.846236,113.565415,China,CN,Shanxi,,981448,722155
Jixi,45.301095,130.957181,China,CN,Heilongjiang,minor,965000,403759
Xigui,34.4065,118.341,China,CN,Jiangsu,,962656,962656
Pingxiang,27.616722,113.853527,China,CN,Jiangxi,minor,961000,372123
Jinzhou,41.107778,121.141667,China,CN,Liaoning,,956000,604269
Nantong,32.030278,120.874722,China,CN,Jiangsu,minor,947000,666251
Foshan,23.026771,113.131483,China,CN,Guangdong,minor,943000,627348
Xinyu,27.839063,114.845909,China,CN,Jiangxi,minor,913000,97480
Huaibei,33.974444,116.791667,China,CN,Anhui,,913000,903039
Yibin,28.766667,104.623832,China,CN,Sichuan,minor,902000,242111
Xiaobengbu,32.95,117.333333,China,CN,Anhui,,894000,576648
