Chinese,English
綦江区,Qijiang
苏州,Suzhou
安庆,Anqing
赤峰,Chifeng
烟台,Yantai
吐鲁番,Tulufan
邯郸市,Handan
乌鲁木齐,Wulumuqi
毕节,Bijie
西双版纳州,Xishuangbanna
未知地区,Unknown
宿松,Susong
奉贤,Fengxian
金昌,Jinchang
钦州,Qinzhou
营口,Yingkou
外地来津人员,Non_Residence
五家渠,Wujiaqu
东方市,Dongfang
恩施州,Enshizhou
汕头,Shantou
宁河,Ninghe
无锡,Wuxi
吉安,Ji_an
邵阳,Shaoyang
北海,Beihai
丽江市,Lijiang
延庆区,Yanqing
大兴区,Daxing
密云区,Miyun
鹰潭,Yingtan
黔东南州,Qiandongnan
玉林,Yulin
待明确地区,Unknown
舟山,Zhoushan
固原,Guyuan
陇南,Longnan
开封,Kaifeng
第八师石河子市,Shihezi
门头沟,Mentougou
璧山区,Bishan
崇明区,Congming
渭南,Weinan
张掖,Zhangye
邯郸,Handan
拉萨,Lasa
大兴安岭,Daxing_anling
河源,Heyuan
虹口,Hongkou
哈尔滨,Ha_erbin
淮安,Huaian
乌兰察布,Wulanchabu
安康,Ankang
恩施,Enshi
秀山,Xiushan
四平市,Siping
宿迁,Suqian
攀枝花,Panzhihua
渝中区,Yuzhong
韩城,Hancheng
淮北,Huaibei
荣昌区,Rongchang
成都,Chengdu
宜春,Yichun
绵阳,Mianyang
呼伦贝尔牙克石,Hulunbeieryakeshi
长春,Changchun
静安区,Jing_an
益阳,Yiyang
漯河,Luohe
荆州,Jingzhou
湘潭,Xiangtan
黔南州,Qiannanzhou
西宁,Xining
潮州,Chaozhou
大连,Dalian
南京,Nanjing
石景山,Shijingshan
宁夏回族自治区,Ningxia
张家界,Zhangjiajie
邢台,Xingtai
九江,Jiujiang
惠州,Huizhou
萍乡,Pingxiang
广东省,Guangdong
白银,Baiyin
徐州,Xuzhou
大同,Datong
渝北区,Yubei
朔州,Suozhou
吕梁,Lvliang
桂林,Guilin
江津区,Jiangjin
沙坪坝区,Shapingba
河北省,Hebei
彭水县,Pengshui
青浦区,Qingpu
吴忠,Wuzhong
清远,Qingyuan
湖北省,Hubei
海淀,Haidian
湖南省,Hunan
牡丹江,Mudanjiang
阿克苏地区,Akesu
兵团第十二师,The_Twelfth_Battalion
巴中,Bazhong
鞍山,Anshan
安阳市,Anyang
长宁,Changning
宜宾,Yibin
白城,Baicheng
达州,Dazhou
神农架林区,Shennongjia
临汾,Linfen
丽江,Lijiang
丹东,Dandong
长寿区,Changshou
静安,Jing_an
辽源,Liaoyuan
昌吉,Jichang
廊坊,Langfang
大足区,Dazu
四川省,Sichuan
铜陵,Tongling
金山,Jinshan
昭通,Shaotong
浙江省,Zhejiang
濮阳,Puyang
梅河口,Meihekou
大庆,Daqing
江北区,Hebeiqu
宝坻区,Baodiqu
武汉,Wuhan
安阳,Anyang
滨海新区,Binhaixinqu
唐山,Tangshan
外地来粤人员,Non_Residence
淄博市,Zibo
海北州,Hibeizhou
包头,Baotou
琼中,Qiongzhong
衢州,Quzhou
泰安,Taian
三亚,Sanya
朝阳区,Chaoyangqu
黔西南州,Qianxinanzhou
石家庄,Shijiazhuang
乐山,Leshan
鹤壁,Hebi
双鸭山,Shuangyashan
呼和浩特,Huhehaote
池州,Chizhou
齐齐哈尔,Qiqihaer
新疆维吾尔自治区,Xinjiang
贵港,Guigang
洛阳,Luoyang
海南省,Henan
遵义,Zunyi
